Index	Forward.Time (s)	Potential applied (V)	WE(1).Forward.Potential (V)	WE(1).Forward.Current (A)	WE(1).Backward.Current (A)	WE(1).δ.Current (A)	WE(1).Forward.Power (W)	WE(1).Forward.Resistance (Ω)	WE(1).Forward.Charge (C)
252	249.957949368917	0.236129760742188	0.185699462890625	-1.1639404296875E-06	9.29870605468749E-07	-2.09381103515625E-06	-2.16143106968048E-07	-159543.796875	-1.28502806546749E-05
253	250.007949368791	0.231094360351563	0.1807861328125	-1.18743896484375E-06	9.442138671875E-07	-2.13165283203125E-06	-2.1467248245699E-07	-152248.78125	-1.29090649352293E-05
254	250.057949368664	0.226058959960938	0.175567626953125	-1.21002197265625E-06	9.5672607421875E-07	-2.166748046875E-06	-2.12440696145677E-07	-145094.578125	-1.29690015455708E-05
255	250.107949368538	0.221023559570313	0.170501708984375	-1.23626708984375E-06	9.735107421875E-07	-2.20977783203125E-06	-2.10785643162126E-07	-137916.5625	-1.30301586978021E-05
256	250.157949368412	0.215988159179688	0.165496826171875	-1.26708984375E-06	9.869384765625E-07	-2.2540283203125E-06	-2.09699351216841E-07	-130611.7578125	-1.30927428472205E-05
257	250.207949368286	0.210952758789063	0.160614013671875	-1.302490234375E-06	1.00494384765625E-06	-2.30743408203125E-06	-2.091981770036E-07	-123313.03125	-1.31569822769961E-05
258	250.257949368159	0.205917358398438	0.155670166015625	-1.33941650390625E-06	1.02294921875E-06	-2.36236572265625E-06	-2.08507188403928E-07	-116222.375	-1.32230297822389E-05
259	250.307949368033	0.200881958007813	0.150543212890625	-1.3800048828125E-06	1.04217529296875E-06	-2.42218017578125E-06	-2.07750360914361E-07	-109088.8984375	-1.32910154206911E-05
260	250.357949367907	0.195846557617188	0.145294189453125	-1.4276123046875E-06	1.06201171875E-06	-2.4896240234375E-06	-2.07423767051296E-07	-101774.265625	-1.33612056743004E-05
261	250.407949367781	0.190811157226563	0.1402587890625	-1.48101806640625E-06	1.08489990234375E-06	-2.56591796875E-06	-2.07725790346558E-07	-94704.3125	-1.34339215946966E-05
262	250.457949367654	0.185775756835938	0.135528564453125	-1.5423583984375E-06	1.112060546875E-06	-2.6544189453125E-06	-2.09033615305998E-07	-87870.9921875	-1.35095060613821E-05
263	250.507949367528	0.180740356445313	0.13055419921875	-1.61865234375E-06	1.141357421875E-06	-2.760009765625E-06	-2.1132184713224E-07	-80656.109375	-1.35885311465245E-05
264	250.557949367402	0.175704956054688	0.12554931640625	-1.70074462890625E-06	1.1724853515625E-06	-2.87322998046875E-06	-2.13527329151475E-07	-73820.203125	-1.36715161715983E-05
265	250.607949367276	0.170669555664063	0.12030029296875	-1.80145263671875E-06	1.2115478515625E-06	-3.01300048828125E-06	-2.16715278611446E-07	-66779.6015625	-1.37590714075486E-05
266	250.65794936715	0.165634155273438	0.1151123046875	-1.9097900390625E-06	1.256103515625E-06	-3.1658935546875E-06	-2.19840316617592E-07	-60274.8515625	-1.38518516905606E-05
267	250.707949367023	0.160598754882813	0.110321044921875	-2.0416259765625E-06	1.3067626953125E-06	-3.348388671875E-06	-2.25234316530987E-07	-54035.875	-1.39506373670883E-05
268	250.757949366897	0.155563354492188	0.1053466796875	-2.19207763671875E-06	1.36566162109375E-06	-3.5577392578125E-06	-2.30928094424598E-07	-48057.91796875	-1.40564798130072E-05
269	250.807949366771	0.150527954101563	0.100311279296875	-2.35809326171875E-06	1.4337158203125E-06	-3.79180908203125E-06	-2.36543357345909E-07	-42539.1484375	-1.41702339533367E-05
270	250.857949366645	0.145492553710938	0.09527587890625	-2.55340576171875E-06	1.5106201171875E-06	-4.06402587890625E-06	-2.43277980871426E-07	-37313.25390625	-1.4293022104539E-05
271	250.907949366518	0.140457153320313	0.0902099609375	-2.77099609375E-06	1.6009521484375E-06	-4.3719482421875E-06	-2.49971435550833E-07	-32555.068359375	-1.44261321111117E-05
272	250.957949366392	0.135421752929688	0.085174560546875	-3.0169677734375E-06	1.7034912109375E-06	-4.720458984375E-06	-2.56968888834308E-07	-28231.84375	-1.45708308991743E-05
273	251.007949366266	0.130386352539063	0.08001708984375	-3.2891845703125E-06	1.81915283203125E-06	-5.10833740234375E-06	-2.63190969462812E-07	-24327.333984375	-1.4728484529769E-05
274	251.05794936614	0.125350952148438	0.07489013671875	-3.5797119140625E-06	1.95281982421875E-06	-5.53253173828125E-06	-2.68085102561599E-07	-20920.716796875	-1.49002071339055E-05
275	251.107949366013	0.120315551757813	0.06982421875	-3.912353515625E-06	2.0977783203125E-06	-6.0101318359375E-06	-2.73177022336313E-07	-17847.115234375	-1.50875084727886E-05
276	251.157949365887	0.115280151367188	0.065155029296875	-4.266357421875E-06	2.2613525390625E-06	-6.5277099609375E-06	-2.77974635309874E-07	-15271.8173828125	-1.52919765241677E-05
277	251.207949365761	0.110244750976563	0.060089111328125	-4.644775390625E-06	2.44537353515625E-06	-7.09014892578125E-06	-2.79100419220413E-07	-12936.9248046875	-1.55147554323776E-05
278	251.257949365635	0.105209350585938	0.0550537109375	-5.0506591796875E-06	2.6409912109375E-06	-7.691650390625E-06	-2.78057541436283E-07	-10900.3017578125	-1.57571412273683E-05
279	251.307949365508	0.100173950195313	0.04998779296875	-5.4779052734375E-06	2.85797119140625E-06	-8.33587646484375E-06	-2.73828391073039E-07	-9125.3486328125	-1.60203544510296E-05
280	251.357949365382	0.0951385498046875	0.04486083984375	-5.914306640625E-06	3.0853271484375E-06	-8.9996337890625E-06	-2.65320778680689E-07	-7585.13916015625	-1.63051608979004E-05
281	251.407949365256	0.0901031494140625	0.040081787109375	-6.3720703125E-06	3.33251953125E-06	-9.70458984375E-06	-2.55403961091361E-07	-6290.23046875	-1.66123190865619E-05
282	251.45794936513	0.0850677490234375	0.0350982666015625	-6.8359375E-06	3.5919189453125E-06	-1.04278564453125E-05	-2.39929534018302E-07	-5134.375	-1.69425202329876E-05
283	251.507949365003	0.0800323486328125	0.029998779296875	-7.2967529296875E-06	3.8604736328125E-06	-1.11572265625E-05	-2.18893674741594E-07	-4111.25048828125	-1.72958370967535E-05
284	251.557949364877	0.0749969482421875	0.0249542236328125	-7.757568359375E-06	4.1351318359375E-06	-1.18927001953125E-05	-1.935840856504E-07	-3216.7587890625	-1.76721950992942E-05
285	251.607949364751	0.0699615478515625	0.0198394775390625	-8.209228515625E-06	4.4097900390625E-06	-1.26190185546875E-05	-1.62866797381866E-07	-2416.728515625	-1.80713650479447E-05
286	251.657949364625	0.0649261474609375	0.0147552490234375	-8.6334228515625E-06	4.6783447265625E-06	-1.3311767578125E-05	-1.27388304349552E-07	-1709.08447265625	-1.84924319910351E-05
287	251.707949364499	0.0598907470703125	0.00963439941406249	-9.033203125E-06	4.931640625E-06	-1.396484375E-05	-8.70294911692326E-08	-1066.55407714844	-1.89340971701313E-05
288	251.757949364372	0.0548553466796875	0.00479736328124999	-9.3994140625E-06	5.1605224609375E-06	-1.45599365234375E-05	-4.50924027006749E-08	-510.389617919922	-1.9394912669668E-05
289	251.807949364246	0.0498199462890625	-0.000164794921875003	-9.716796875E-06	5.3619384765625E-06	-1.50787353515625E-05	1.60127877624205E-09	16.9597988128662	-1.9872817574651E-05
290	251.85794936412	0.0447845458984375	-0.00519409179687499	-9.9884033203125E-06	5.5267333984375E-06	-1.551513671875E-05	5.18806793081694E-08	520.012268066406	-2.03654471988557E-05
291	251.907949363994	0.0397491455078125	-0.0103729248046875	-1.0198974609375E-05	5.6427001953125E-06	-1.58416748046875E-05	1.05793191096382E-07	1017.0556640625	-2.08701312658377E-05
