Index	Forward.Time (s)	Potential applied (V)	WE(1).Forward.Potential (V)	WE(1).Forward.Current (A)	WE(1).Backward.Current (A)	WE(1).δ.Current (A)	WE(1).Forward.Power (W)	WE(1).Forward.Resistance (Ω)	WE(1).Forward.Charge (C)
203	218.131637449271	0.517196655273438	0.56622314453125	1.93267822265625E-06	3.8116455078125E-07	1.551513671875E-06	1.09432710360124E-06	292973.34375	2.61279674305115E-05
204	218.181637449144	0.522232055664063	0.57122802734375	1.9488525390625E-06	3.72314453125E-07	1.5765380859375E-06	1.11323913642991E-06	293109.9375	2.62250050582225E-05
205	218.231637449018	0.527267456054688	0.576324462890625	1.9671630859375E-06	3.62243652343749E-07	1.60491943359375E-06	1.13372425403213E-06	292972.375	2.63229067059001E-05
206	218.281637448892	0.532302856445313	0.581085205078125	1.9873046875E-06	3.51562499999999E-07	1.6357421875E-06	1.15479326723289E-06	292398.65625	2.64217669609934E-05
207	218.331637448766	0.537338256835938	0.586181640625	2.008056640625E-06	3.39660644531251E-07	1.66839599609375E-06	1.17708589186805E-06	291914.90625	2.65216513071209E-05
208	218.381637448639	0.542373657226563	0.591156005859375	2.0318603515625E-06	3.28369140625E-07	1.7034912109375E-06	1.20114646051661E-06	290943.25	2.66226488747634E-05
209	218.431637448513	0.547409057617188	0.59637451171875	2.05841064453125E-06	3.143310546875E-07	1.74407958984375E-06	1.22758365250775E-06	289725.71875	2.67249070020625E-05
210	218.481637448387	0.552444458007813	0.601531982421875	2.0849609375E-06	3.01208496093749E-07	1.78375244140625E-06	1.254170683751E-06	288509.96875	2.68284911726369E-05
211	218.531637448261	0.557479858398438	0.606414794921875	2.11639404296875E-06	2.8564453125E-07	1.83074951171875E-06	1.28341264371556E-06	286532.09375	2.69335250777658E-05
212	218.581637448134	0.562515258789063	0.611236572265625	2.14874267578125E-06	2.7008056640625E-07	1.878662109375E-06	1.31339004383335E-06	284462.4375	2.70401524176123E-05
213	218.631637448008	0.567550659179688	0.616241455078125	2.1875E-06	2.5177001953125E-07	1.93572998046875E-06	1.34802826323721E-06	281710.375	2.71485587290954E-05
214	218.681637447882	0.572586059570313	0.62139892578125	2.2259521484375E-06	2.337646484375E-07	1.9921875E-06	1.38320422138349E-06	279160.96875	2.72588949883357E-05
215	218.731637447756	0.577621459960938	0.62646484375	2.271728515625E-06	2.12707519531249E-07	2.05902099609375E-06	1.42315798257187E-06	275765.75	2.73713376373053E-05
216	218.781637447629	0.582656860351563	0.63153076171875	2.318115234375E-06	1.91345214843749E-07	2.12677001953125E-06	1.46396098443802E-06	272432.875	2.74860831268597E-05
217	218.831637447503	0.587692260742188	0.636627197265625	2.37152099609375E-06	1.67236328125001E-07	2.20428466796875E-06	1.50977461998991E-06	268446.8125	2.76033242698759E-05
218	218.881637447377	0.592727661132813	0.641448974609375	2.4298095703125E-06	1.4068603515625E-07	2.28912353515625E-06	1.55859879669151E-06	263991.46875	2.77233575616265E-05
219	218.931637447251	0.597763061523438	0.646514892578125	2.49420166015625E-06	1.11999511718749E-07	2.3822021484375E-06	1.61253854003007E-06	259207.140625	2.78464576695114E-05
220	218.981637447125	0.602798461914063	0.65142822265625	2.56439208984375E-06	8.20922851562503E-08	2.4822998046875E-06	1.67051723565237E-06	254028.34375	2.7972922907793E-05
221	219.031637446998	0.607833862304688	0.656768798828125	2.63824462890625E-06	4.69970703125003E-08	2.59124755859375E-06	1.73271666881192E-06	248941.59375	2.81029879261041E-05
222	219.081637446872	0.612869262695313	0.661834716796875	2.7203369140625E-06	1.068115234375E-08	2.70965576171875E-06	1.80041331532266E-06	243291.453125	2.82369528576965E-05
223	219.131637446746	0.617904663085938	0.666748046875	2.80853271484375E-06	-2.92968749999997E-08	2.83782958984375E-06	1.87258365258458E-06	237400.859375	2.83751742244931E-05
224	219.18163744662	0.622940063476563	0.671875	2.901611328125E-06	-7.171630859375E-08	2.97332763671875E-06	1.94952008314431E-06	231552.390625	2.85179285128834E-05
225	219.231637446493	0.627975463867188	0.67669677734375	3.0047607421875E-06	-1.19934082031251E-07	3.12469482421875E-06	2.03331183001865E-06	225208.21875	2.8665588615695E-05
226	219.281637446367	0.633010864257813	0.6817626953125	3.11431884765625E-06	-1.70288085937501E-07	3.28460693359375E-06	2.12322629522532E-06	218912.296875	2.88185638055438E-05
227	219.331637446241	0.638046264648438	0.68682861328125	3.2305908203125E-06	-2.2308349609375E-07	3.45367431640625E-06	2.21886216422718E-06	212601.5625	2.89771869574906E-05
228	219.381637446115	0.643081665039063	0.6920166015625	3.35357666015625E-06	-2.8045654296875E-07	3.634033203125E-06	2.32073080042028E-06	206351.8125	2.91417909465963E-05
229	219.431637445988	0.648117065429688	0.69696044921875	3.4814453125E-06	-3.41186523437501E-07	3.8226318359375E-06	2.42642954617622E-06	200192.859375	2.93126668111654E-05
230	219.481637445862	0.653152465820313	0.70196533203125	3.616943359375E-06	-4.05273437500001E-07	4.022216796875E-06	2.53896882895788E-06	194076.953125	2.94901274173753E-05
231	219.531637445736	0.658187866210938	0.7071533203125	3.74755859375E-06	-4.73937988281251E-07	4.22149658203125E-06	2.65009839495178E-06	188697.0625	2.9674240067834E-05
232	219.58163744561	0.663223266601563	0.711944580078125	3.887939453125E-06	-5.43823242187499E-07	4.4317626953125E-06	2.76799733001099E-06	183116.171875	2.98651266348315E-05
233	219.631637445483	0.668258666992188	0.716949462890625	4.0374755859375E-06	-6.170654296875E-07	4.654541015625E-06	2.89466561298468E-06	177573.703125	3.00632618746022E-05
234	219.681637445357	0.673294067382813	0.721954345703125	4.1748046875E-06	-6.939697265625E-07	4.8687744140625E-06	3.01401814795099E-06	172931.296875	3.0268569389591E-05
235	219.731637445231	0.678329467773438	0.727081298828125	4.3243408203125E-06	-7.7239990234375E-07	5.09674072265625E-06	3.14414728563861E-06	168136.90625	3.04810473608086E-05
236	219.781637445105	0.683364868164063	0.73211669921875	4.461669921875E-06	-8.53271484375E-07	5.31494140625E-06	3.26646318171697E-06	164090.28125	3.07006994262338E-05
237	219.831637444978	0.688400268554688	0.73724365234375	4.5989990234375E-06	-9.34753417968751E-07	5.53375244140625E-06	3.39058283316263E-06	160305.234375	3.09272145386785E-05
238	219.881637444852	0.693435668945313	0.74237060546875	4.7393798828125E-06	-1.015625E-06	5.7550048828125E-06	3.51837616108241E-06	156638.765625	3.1160674552666E-05
239	219.931637444726	0.698471069335938	0.7471923828125	4.8675537109375E-06	-1.097412109375E-06	5.9649658203125E-06	3.63699905392423E-06	153504.703125	3.14008466375526E-05
240	219.9816374446	0.703506469726563	0.75286865234375	4.9896240234375E-06	-1.17828369140625E-06	6.16790771484375E-06	3.75653144146781E-06	150886.859375	3.16472760459874E-05
241	220.031637444474	0.708541870117188	0.7568359375	5.1239013671875E-06	-1.2548828125E-06	6.3787841796875E-06	3.87795262213331E-06	147706.96875	3.19001155730803E-05
